product_id,title,authors,original_price,current_price,discount,discount_percent (%),quantity,category,n_review,avg_rating,pages,manufacturer
195980676,Phượng Hoàng Tái Sinh - 12 Phẩm Chất Quan Trọng Để Bứt Phá Sự Nghiệp Và Cuộc Sống,Unknown,152000,98800,53200,0.35,2,Sách tư duy - Kỹ năng sống,0,0.00,264,Nhà Xuất Bản Hồng Đức
188930498,Người Bà Tài Giỏi Vùng Saga – Tập 6,Yoshichi Shimada,52000,45000,7000,0.1346153846,365,Unknown,42,4.80,200,Nhà Xuất Bản Phụ Nữ
74277389,Combo 4 Cuốn: Bộ Tuyển Tập Truyện Hay Dành Cho Thiếu Nhi (Tái Bản),William J. Bennett,192000,126700,65300,0.3401041667,535,Văn học thiếu nhi,103,4.80,94,Nhà Xuất Bản Tổng hợp TP.HCM
201048333,Yu-Gi-Oh! GX - Tập 2: Cuộc Gặp Gỡ Định Mệnh!!,Kazuki Takahashi,30000,29900,100,0.003333333333,181,Unknown,24,5.00,208,Nhà Xuất Bản Kim Đồng
13624086,Mô Hình Xoắn Động Gien Tinh Thần Hay Sự Thật Về Tâm Lý Con Người,Vũ Phi Yên,99000,72400,26600,0.2686868687,1730,Sách tư duy - Kỹ năng sống,114,4.80,338,Unknown
201431424,Birdmen - Tập 10,Yellow Tanabe,30000,30000,0,0,155,Unknown,13,5.00,216,Nhà Xuất Bản Kim Đồng
199240640,Vua Sáng Chế - Tập 19,Tatsuki Nohda,20000,19000,1000,0.05,230,Unknown,20,5.00,192,Nhà Xuất Bản Kim Đồng
193590152,Méthode Rose - Phương pháp hồng 1 - Năm thứ nhất với đàn piano - Giáo trình dạy piano nổi tiếng của Pháp,Ernest Van De Velde,150000,91001,58999,0.3933266667,171,Âm Nhạc - Điện Ảnh,22,5.00,124,Nhà Xuất Bản Dân Trí
49066799,Hồi Ức Là Cuộn Băng Tua Ngược,Hyun-wook Park,112000,44800,67200,0.6,146,Tiểu Thuyết,13,4.80,300,Nhà Xuất Bản Hà Nội
193211309,Chuông Gió (Tập 2),Vĩ Ngư,174000,129000,45000,0.2586206897,345,Truyện ngôn tình,58,5.00,456,Nhà Xuất Bản Thanh Niên
92993878,Truyện đọc cho bé trước giờ đi ngủ,Mai Hương,98000,63700,34300,0.35,246,Truyện kể cho bé,22,5.00,112,Nhà Xuất Bản Phụ Nữ Việt Nam
187190676,Black Jack - Tập 11,Osamu Tezuka,30000,26100,3900,0.13,791,Unknown,83,5.00,200,NXB Trẻ
197588251,Tô Màu Phát Triển Não Bộ Cho Bé 1-5 Tuổi Tập 7,Phạm Ngọc Điệp,16000,9600,6400,0.4,43,Tô màu - Luyện chữ,3,5.00,20,Nhà Xuất Bản Dân Trí
52785566,Fỉnh Fờ Lũ Ngốc – Kinh Tế Học Thao Túng Và Bịp Bợm - Phishing For Phools,George A. Akerlof,160000,96000,64000,0.4,2267,Sách kinh tế học,295,4.70,428,Nhà Xuất Bản Dân Trí
204771686,Bé tô màu - Rau củ,Kim Thủy,15000,11900,3100,0.2066666667,24,Tô màu - Luyện chữ,1,5.00,16,Nhà Xuất Bản Mỹ Thuật
176824204,Tinh Hoa Kinh Tế Học (Tái Bản),Paul Krugman,555000,456000,99000,0.1783783784,370,Sách kinh tế học,71,4.80,780,Nhà Xuất Bản Tổng hợp TP.HCM
10397239,Chiến Lược Dữ Liệu,Bernard Marr,158000,104200,53800,0.3405063291,1616,Sách kỹ năng làm việc,140,4.70,276,Unknown
161903410,Năng Lượng Tinh Thể (Phương Pháp Thiền Định Và Chữa Lành Bằng Năng Lượng Từ Đá Tự Nhiên),Karen Frazier,189000,113400,75600,0.4,395,Kiến Thức Bách Khoa,52,5.00,272,Nhà Xuất Bản Thanh Niên
197117227,Thao Túng Ký Ức,Tiến sĩ Julia Shaw,179000,116000,63000,0.3519553073,84,Sách tư duy - Kỹ năng sống,3,4.70,356,Nhà Xuất Bản Công Thương
102411866, The Having Tư Duy Thịnh Vượng,Suh Yoon Lee,149000,110000,39000,0.2617449664,983,Sách tư duy - Kỹ năng sống,222,5.00,296,Nhà Xuất Bản Thanh Niên
170463582,Siêu Nhí Biết Tuốt - 101 Bí Ẩn Kích Thích Tò Mò Của Các Bạn Nhỏ,Unknown,199998,125000,74998,0.3749937499,710,Kiến thức - Bách khoa,90,5.00,120,Nhà Xuất Bản Hà Nội
51215567,Đồng Tiền Hạnh Phúc,Ken Honda,95000,71100,23900,0.2515789474,2918,Sách tư duy - Kỹ năng sống,323,5.00,258,Nhà Xuất Bản Đại Học Kinh Tế Quốc Dân
196932341,Dưỡng da tối giản,Thư Đỗ,92000,62001,29999,0.326076087,36,Sách Làm Đẹp,1,5.00,136,Nhà Xuất Bản Thế Giới
194104232,Anh Em Phi Hành Gia - Tập 32,Chuya Koyama,45000,39100,5900,0.1311111111,238,Unknown,14,5.00,160,NXB Trẻ
160081250,Tăng Cường Sức Mạnh Não Bộ,Kato Toshinori,120000,72000,48000,0.4,698,Sách tư duy - Kỹ năng sống,72,4.80,234,Nhà Xuất Bản Thế Giới
77982972,Những Mô Hình COACH Thành Công Nhất Hiện Nay,Jonathan Passmore,200000,134000,66000,0.33,1112,Bài học kinh doanh,164,4.80,360,Nhà Xuất Bản Thế Giới
198587700,Tạp chí Đẹp T09-10/2022 (số 269),Unknown,65000,65000,0,0,15,Unknown,0,0.00,158,Nhà Xuất Bản Thông Tấn
149534865,Bảy Thanh Hung Giản 2 - Hổ Phách Đỏ Son - Gió Cuốn Cát Bụi,Vĩ Ngư,230000,138000,92000,0.4,855,Truyện kiếm hiệp,172,4.80,550,Nhà Xuất Bản Hà Nội
435458,Nhật Ký Thất Lạc Của Don Juan,Doughlas Carlton Abrams,98000,88000,10000,0.1020408163,22,Tiểu Thuyết,1,5.00,430,Unknown
72542509,Raw Vegan – Sức Mạnh Chữa Lành Của Thực Vật (Tặng kèm bookmark),Norman W.Walker,92000,59001,32999,0.3586847826,7352,Unknown,1346,4.80,224,Nhà Xuất Bản Thế Giới
76656767,Lincoln Ở Cõi Trung Ấm,George Saunders,150000,60000,90000,0.6,268,Tiểu Thuyết,45,4.80,460,Nhà Xuất Bản Hội Nhà Văn
16082945,"Toán Học, Một Thiên Tiểu Thuyết",Mickaël Launay,110000,66000,44000,0.4,3591,Unknown,425,4.80,332,Unknown
106604996,Trong Mỗi Chúng Ta Đều Có Một Đứa Trẻ Cần Vỗ Về ,Unknown,119000,94100,24900,0.2092436975,1964,Sách tư duy - Kỹ năng sống,339,4.80,248,Nhà Xuất Bản Thanh Niên
148937391,Bóng đêm ký ức - trọn bộ 2 tập - Điều tra phá án - Tặng Bookmark mặt trăng độc quyền,Giảo Giảo,330000,154000,176000,0.5333333333,314,Tiểu Thuyết,61,5.00,1048,NXB Dân Trí
67991602,Đừng Làm Việc Chăm Chỉ Hãy Làm Việc Thông Minh,Tony Schwartz,165000,118800,46200,0.28,11221,Sách kỹ năng làm việc,1737,4.80,492,Nhà Xuất Bản Hồng Đức
178483666,Những Lời Giáo Huấn Của Epictetus,Robin Hard,239000,167300,71700,0.3,593,Sách nghệ thuật sống đẹp,86,4.80,568,Nhà Xuất Bản Công Thương
199030585,Search Inside Yourself – Tìm kiếm bên trong bạn (Tái bản),Chade-Meng Tan,149000,104300,44700,0.3,67,Bài học kinh doanh,4,5.00,344,Nhà Xuất Bản Lao Động
3640421,Đắc Nhân Tâm - Bản Dịch Gốc Từ Nguyễn Hiến Lê (Tặng Kèm Audio Book),Dale Carnegie,90000,60300,29700,0.33,14144,Sách tư duy - Kỹ năng sống,909,4.70,450,Unknown
76776247,Hà Nội Bảo Thế Là Thường (Bìa Mềm)(Tản Văn),Nguyễn Trương Quý,108000,64800,43200,0.4,316,Truyện ngắn - Tản văn - Tạp Văn,50,5.00,272,Nhà Xuất Bản Hội Nhà Văn
186286180,Ngôi Trường Mọi Khi (Tái Bản 2022),Nguyễn Nhật Ánh,43000,31600,11400,0.2651162791,118,Truyện ngắn - Tản văn - Tạp Văn,13,4.70,244,NXB Trẻ
95289208,Người Bà Tài Giỏi Vùng Saga,Yoshichi Shimada,128000,95000,33000,0.2578125,1789,Sách nghệ thuật sống đẹp,300,5.00,216,Nhà Xuất Bản Thanh Niên
75996801,Charlie Và Nhà Máy Sô Cô La (Tái Bản 2021),Roald Dahl,60000,53000,7000,0.1166666667,852,Văn học thiếu nhi,115,5.00,224,Nhà Xuất Bản Kim Đồng
43859629,Người giàu nhất thành Babylon - phiên bản đầy đủ thêm 2 chương mới,George S. Clason,80000,57600,22400,0.28,2362,Bài học kinh doanh,365,4.80,168,Unknown
109322300,"Combo 8 cuốn Ehon Kỹ năng sống: Bon và Gia đình, Bạn bè",Unknown,198635,116000,82635,0.4160142976,1853,Truyện tranh Ehon,273,4.80,33,Nhà Xuất Bản Hà Nội
102381212,Triết Học - Tất Cả Những Điều Cần Biết Để Thông Thạo Bộ Môn Này,Peter Gibson,309000,169950,139050,0.45,304,Triết Học,66,4.60,256,Nhà Xuất Bản Thế Giới
168367080,Thông Não Ielts Reading Cùng Linear,Lê Đình Lực,499000,384200,114800,0.2300601202,427,Sách Học Tiếng Anh,80,4.70,207,Nhà Xuất Bản Dân Trí
63516905,Boxset 4 Cuốn: Cá Voi Đêm Bão Và Những Câu Chuyện Khác…,Benji Davies,200000,163000,37000,0.185,366,Truyện tranh thiếu nhi,62,5.00,128,Nhà Xuất Bản Kim Đồng
202450671,Hội Chứng Tuổi Thanh Xuân – Tập 8,Hajime KAMOSHIDA,105000,77600,27400,0.260952381,119,Light novel,20,5.00,344,Nhà Xuất Bản Kim Đồng
4705253,Kinh Địa Tạng,Thích Nhật Từ,29000,29000,0,0,2659,Unknown,171,5.00,160,Nhà Xuất Bản Hồng Đức
80141527,Hackers IELTS Basic- Reading,Hackers,219000,140000,79000,0.3607305936,885,Sách Học Tiếng Anh,250,4.80,404,Nhà Xuất Bản Thế Giới
138107483,Binh Pháp Tôn Tử Dành Cho Phái Đẹp (Tái Bản),Chin-Ning Chu,148000,99100,48900,0.3304054054,273,Sách tư duy - Kỹ năng sống,35,5.00,108,Nhà Xuất Bản Đà Nẵng
162140236,Go Green Hành Tinh Nhựa,Georgia Amson-Bradshaw,75000,48001,26999,0.3599866667,11,Truyện tranh thiếu nhi,0,0.00,48,Nhà Xuất Bản Dân Trí
997535,Gọi Em Bằng Tên Anh - Call Me By Your Name,André Aciman,98000,72500,25500,0.2602040816,8782,Tiểu Thuyết,764,4.80,316,Unknown
52691750,Tự Do Đầu Tiên & Cuối Cùng,J.Krishnamurti,178000,117400,60600,0.3404494382,1333,Sách nghệ thuật sống đẹp,181,5.00,436,Nhà Xuất Bản Tổng hợp TP.HCM
37411897,Sách Đen - Bộ Công Cụ Của Phụ Nữ Thành Đạt,Otegha Uwagba,79000,47980,31020,0.3926582278,6872,Sách tư duy - Kỹ năng sống,866,4.70,148,Unknown
185445037,Dưới Hiên Nhà Bà Già Đọc Boyslove - 1,Tsurutani Kaori,58000,49200,8800,0.1517241379,1837,Unknown,501,5.00,146,Nhà Xuất Bản Hà Nội
200634069,"Dear, Darling - Bản Tặng Kèm Chữ Ký Tác Giả",Hiên,88000,62100,25900,0.2943181818,66,Truyện ngắn - Tản văn - Tạp Văn,9,4.50,200,Nhà Xuất Bản Phụ Nữ Việt Nam
139979522,Ăn Dặm Kiểu Nhật (Tái Bản),Tsutsumi Chiharu,189000,132300,56700,0.3,1036,Sách Làm Cha Mẹ,138,5.00,176,Nhà Xuất Bản Lao Động
626886,Những Tấm Lòng Cao Cả,Edmondo De Amicis,80000,60100,19900,0.24875,9337,Tác phẩm kinh điển,884,4.80,143,Unknown
34340291,Não Bộ Kể Gì Về Bạn,David Eagleman,149000,91600,57400,0.3852348993,5424,Sách tư duy - Kỹ năng sống,532,4.70,292,Unknown
48592472,Combo Truyện Tranh Song Ngữ Việt - Anh Cho Bé (12 Tập),Sirilak Rattanasuwaj,180000,134000,46000,0.2555555556,10695,Kiến thức - Bách khoa,1744,4.80,34,Nhà Xuất Bản Phụ Nữ
162140222,Tết Ở Làng Địa Ngục,Thảo Trang,169000,114000,55000,0.325443787,774,Truyện dài,181,4.80,544,Nhà Xuất Bản Thanh Niên
90888310,Lũ Trẻ Hư Nhất Quả Đất 2,David Walliams,185000,111000,74000,0.4,1065,Truyện cười,198,5.00,286,Nhà Xuất Bản Hội Nhà Văn
157054862,Tâm Lý Học Thành Công (Tái Bản),Carol S.Dweck,199000,130000,69000,0.3467336683,339,Sách giáo dục,62,4.80,480,Nhà Xuất Bản Lao Động
198728079,Vivre Card - Thẻ Dữ Liệu Nhân Vật One Piece Booster Pack - Thợ Đóng Tàu Hàng Đầu Thế Giới! Galleyla-Company!!,Unknown,25000,25000,0,0,204,Unknown,20,5.00,248,Nhà Xuất Bản Kim Đồng
